Category,English,French
Numbers,zero,zéro
Numbers,one,un
Numbers,two,deux
Numbers,three,trois
Numbers,four,quatre
Numbers,five,cinq
Numbers,six,six
Numbers,seven,sept
Numbers,eight,huit
Numbers,nine,neuf
Numbers,ten,dix
Numbers,eleven,onze
Numbers,twelve,douze
Numbers,thirteen,treize
Numbers,fourteen,quatorze
Numbers,fifteen,quinze
Numbers,sixteen,seize
Numbers,seventeen,dix-sept
Numbers,eighteen,dix-huit
Numbers,nineteen,dix-neuf
Numbers,twenty,vingt
Numbers,thirty,trente
Numbers,forty,quarante
Numbers,fifty,cinquante
Numbers,sixty,soixante
Numbers,seventy,soixante-dix
Numbers,eighty,quatre-vingts
Numbers,ninety,quatre-vingt-dix
Numbers,hundred,cent
Days,Monday,lundi
Days,Tuesday,mardi
Days,Wednesday,mercredi
Days,Thursday,jeudi
Days,Friday,vendredi
Days,Saturday,samedi
Days,Sunday,dimanche
Months,January,janvier
Months,February,février
Months,March,mars
Months,April,avril
Months,May,mai
Months,June,juin
Months,July,juillet
Months,August,août
Months,September,septembre
Months,October,octobre
Months,November,novembre
Months,December,décembre
Seasons,spring,printemps
Seasons,summer,été
Seasons,autumn,automne
Seasons,winter,hiver
Colors,white,blanc
Colors,black,noir
Colors,red,rouge
Colors,blue,bleu
Colors,green,vert
Colors,yellow,jaune
Colors,orange,orange
Colors,pink,rose
Colors,brown,marron
Colors,grey,gris
Colors,purple,violet
Colors,gold,doré
Family,mother,mère
Family,father,père
Family,parents,parents
Family,son,fils
Family,daughter,fille
Family,child,enfant
Family,brother,frère
Family,sister,sœur
Family,grandmother,grand-mère
Family,grandfather,grand-père
Family,husband,mari
Family,wife,femme
Family,family,famille
Family,uncle,oncle
Family,aunt,tante
Family,cousin,cousin
Family,baby,bébé
Family,man,homme
Family,woman,femme
Family,friend,ami
Greetings,hello,bonjour
Greetings,goodbye,au revoir
Greetings,please,s'il vous plaît
Greetings,thank you,merci
Greetings,you're welcome,de rien
Greetings,yes,oui
Greetings,no,non
Greetings,excuse me,excusez-moi
Greetings,sorry,désolé
Greetings,good morning,bonjour
Greetings,good evening,bonsoir
Greetings,good night,bonne nuit
Greetings,how are you,comment ça va
Greetings,nice to meet you,enchanté
Greetings,welcome,bienvenue
Questions,what,quoi
Questions,who,qui
Questions,where,où
Questions,when,quand
Questions,why,pourquoi
Questions,how,comment
Questions,how much/many,combien
Questions,which,quel
Questions,whose,à qui
Questions,whom,qui
Pronouns,I,je
Pronouns,you (sg),tu
Pronouns,he,il
Pronouns,she,elle
Pronouns,we,nous
Pronouns,you (pl),vous
Pronouns,they,ils
Pronouns,this,ceci
Pronouns,that,cela
Pronouns,my,mon
Pronouns,your,ton
Pronouns,our,notre
Time,today,aujourd'hui
Time,tomorrow,demain
Time,yesterday,hier
Time,now,maintenant
Time,later,plus tard
Time,morning,matin
Time,afternoon,après-midi
Time,evening,soir
Time,night,nuit
Time,week,semaine
Time,month,mois
Time,year,année
Time,hour,heure
Time,minute,minute
Time,day,jour
Verbs,to be,être
Verbs,to have,avoir
Verbs,to do/make,faire
Verbs,to go,aller
Verbs,to come,venir
Verbs,to want,vouloir
Verbs,to be able to/can,pouvoir
Verbs,to know,savoir
Verbs,to see,voir
Verbs,to say/tell,dire
Verbs,to speak,parler
Verbs,to eat,manger
Verbs,to drink,boire
Verbs,to sleep,dormir
Verbs,to live,habiter
Verbs,to work,travailler
Verbs,to study,étudier
Verbs,to read,lire
Verbs,to write,écrire
Verbs,to listen,écouter
Verbs,to look/watch,regarder
Verbs,to understand,comprendre
Verbs,to think,penser
Verbs,to love,aimer
Verbs,to like,aimer bien
Verbs,to need,avoir besoin de
Verbs,to buy,acheter
Verbs,to sell,vendre
Verbs,to pay,payer
Verbs,to open,ouvrir
Verbs,to close,fermer
Verbs,to give,donner
Verbs,to take,prendre
Verbs,to walk,marcher
Verbs,to run,courir
Verbs,to stop,arrêter
Verbs,to start/begin,commencer
Verbs,to finish,finir
Verbs,to play,jouer
Verbs,to sing,chanter
Verbs,to dance,danser
Verbs,to wait,attendre
Verbs,to look for,chercher
Verbs,to find,trouver
Verbs,to ask,demander
Verbs,to answer,répondre
Verbs,to help,aider
Verbs,to remember,se souvenir
Verbs,to forget,oublier
Verbs,to feel,sentir
Verbs,to arrive,arriver
Verbs,to leave,partir
Verbs,to enter,entrer
Verbs,to exit,sortir
Verbs,to stand,se tenir debout
Verbs,to sit,s'asseoir
Verbs,to fall,tomber
Verbs,to bring,apporter
Verbs,to carry,porter
Verbs,to cook,cuisiner
Verbs,to clean,nettoyer
Verbs,to wash,laver
Verbs,to drive,conduire
Verbs,to fly,voler
Verbs,to swim,nager
Verbs,to laugh,rire
Verbs,to cry,pleurer
Verbs,to exist,exister
Verbs,to change,changer
Verbs,to learn,apprendre
Verbs,to teach,enseigner
Adjectives,big,grand
Adjectives,small,petit
Adjectives,good,bon
Adjectives,bad,mauvais
Adjectives,new,nouveau
Adjectives,old,vieux
Adjectives,young,jeune
Adjectives,happy,heureux
Adjectives,sad,triste
Adjectives,beautiful,beau
Adjectives,ugly,laid
Adjectives,tall,grand
Adjectives,short,court
Adjectives,long,long
Adjectives,fast,rapide
Adjectives,slow,lent
Adjectives,hot,chaud
Adjectives,cold,froid
Adjectives,easy,facile
Adjectives,difficult,difficile
Adjectives,strong,fort
Adjectives,weak,faible
Adjectives,rich,riche
Adjectives,poor,pauvre
Adjectives,clean,propre
Adjectives,dirty,sale
Adjectives,full,plein
Adjectives,empty,vide
Adjectives,open,ouvert
Adjectives,closed,fermé
Adjectives,early,tôt
Adjectives,late,tard
Adjectives,near,proche
Adjectives,far,loin
Adjectives,right,droit
Adjectives,left,gauche
Adjectives,heavy,lourd
Adjectives,light (weight),léger
Adjectives,same,même
Adjectives,different,différent
Adjectives,important,important
Adjectives,possible,possible
Adjectives,hard,dur
Adjectives,soft,doux
Adjectives,sweet,sucré
Adjectives,bitter,amer
Adjectives,delicious,délicieux
Adjectives,hungry,affamé
Adjectives,thirsty,assoiffé
Adjectives,tired,fatigué
Adjectives,sick,malade
Food,bread,pain
Food,water,eau
Food,milk,lait
Food,coffee,café
Food,tea,thé
Food,wine,vin
Food,beer,bière
Food,juice,jus
Food,egg,œuf
Food,cheese,fromage
Food,butter,beurre
Food,meat,viande
Food,chicken,poulet
Food,fish,poisson
Food,rice,riz
Food,pasta,pâtes
Food,soup,soupe
Food,salad,salade
Food,fruit,fruit
Food,apple,pomme
Food,banana,banane
Food,orange (fruit),orange
Food,tomato,tomate
Food,potato,pomme de terre
Food,vegetable,légume
Food,salt,sel
Food,sugar,sucre
Food,sandwich,sandwich
Food,cake,gâteau
Food,ice cream,glace
Food,chocolate,chocolat
Food,breakfast,petit-déjeuner
Food,lunch,déjeuner
Food,dinner,dîner
Food,plate,assiette
Food,glass (drinking),verre
Food,fork,fourchette
Food,knife,couteau
Food,spoon,cuillère
Food,napkin,serviette
Food,restaurant,restaurant
Food,menu,menu
Food,onion,oignon
Food,garlic,ail
Food,lemon,citron
Food,honey,miel
Food,yogurt,yaourt
Food,pepper,poivre
Food,oil,huile
Body,head,tête
Body,face,visage
Body,eye,œil
Body,ear,oreille
Body,nose,nez
Body,mouth,bouche
Body,hand,main
Body,arm,bras
Body,leg,jambe
Body,foot,pied
Body,finger,doigt
Body,hair,cheveux
Body,tooth,dent
Body,heart,cœur
Body,back,dos
Body,stomach,ventre
Body,neck,cou
Body,shoulder,épaule
Body,knee,genou
Body,skin,peau
Clothing,clothes,vêtements
Clothing,shirt,chemise
Clothing,trousers/pants,pantalon
Clothing,dress,robe
Clothing,skirt,jupe
Clothing,shoes,chaussures
Clothing,socks,chaussettes
Clothing,jacket,veste
Clothing,coat,manteau
Clothing,hat,chapeau
Clothing,t-shirt,t-shirt
Clothing,sweater,pull
Clothing,scarf,écharpe
Clothing,gloves,gants
Clothing,belt,ceinture
House,house,maison
House,apartment,appartement
House,room,pièce
House,kitchen,cuisine
House,bathroom,salle de bains
House,bedroom,chambre
House,living room,salon
House,door,porte
House,window,fenêtre
House,table,table
House,chair,chaise
House,bed,lit
House,sofa,canapé
House,wall,mur
House,floor,sol
House,roof,toit
House,key,clé
House,lamp,lampe
House,mirror,miroir
House,garden,jardin
House,stairs,escalier
House,television,télévision
House,telephone,téléphone
House,computer,ordinateur
House,clock,horloge
Animals,dog,chien
Animals,cat,chat
Animals,bird,oiseau
Animals,horse,cheval
Animals,cow,vache
Animals,pig,cochon
Animals,sheep,mouton
Animals,fish (animal),poisson
Animals,mouse,souris
Animals,rabbit,lapin
Animals,lion,lion
Animals,elephant,éléphant
Animals,bear,ours
Animals,wolf,loup
Animals,fox,renard
Animals,monkey,singe
Animals,duck,canard
Animals,chicken (animal),poule
Animals,snake,serpent
Animals,butterfly,papillon
Nature,sun,soleil
Nature,moon,lune
Nature,star,étoile
Nature,sky,ciel
Nature,rain,pluie
Nature,snow,neige
Nature,wind,vent
Nature,cloud,nuage
Nature,sea,mer
Nature,river,rivière
Nature,mountain,montagne
Nature,forest,forêt
Nature,tree,arbre
Nature,flower,fleur
Nature,grass,herbe
Nature,stone,pierre
Nature,earth,terre
Nature,fire,feu
Nature,air,air
Nature,weather,temps
Transport,car,voiture
Transport,bus,bus
Transport,train,train
Transport,plane,avion
Transport,bicycle,vélo
Transport,boat,bateau
Transport,taxi,taxi
Transport,ship,navire
Transport,metro/subway,métro
Transport,motorcycle,moto
Transport,road,route
Transport,airport,aéroport
Places,city,ville
Places,street,rue
Places,school,école
Places,hospital,hôpital
Places,shop/store,magasin
Places,market,marché
Places,church,église
Places,park,parc
Places,bank,banque
Places,station,gare
Places,hotel,hôtel
Places,library,bibliothèque
Places,museum,musée
Places,university,université
Places,country,pays
Professions,teacher,professeur
Professions,doctor,médecin
Professions,student,étudiant
Professions,engineer,ingénieur
Professions,lawyer,avocat
Professions,nurse,infirmier
Professions,police officer,policier
Professions,cook/chef,cuisinier
Professions,driver,chauffeur
Professions,worker,ouvrier
School,book,livre
School,pen,stylo
School,pencil,crayon
School,paper,papier
School,notebook,cahier
School,desk,bureau
School,bag,sac
School,money,argent
School,letter,lettre
School,map,carte
School,picture/photo,photo
School,name,nom
School,word,mot
School,language,langue
School,question,question
Prepositions,in,dans
Prepositions,on,sur
Prepositions,under,sous
Prepositions,with,avec
Prepositions,without,sans
Prepositions,before,avant
Prepositions,after,après
Prepositions,between,entre
Prepositions,towards,vers
Prepositions,from,de
Prepositions,for,pour
Prepositions,about,à propos de
Adverbs,very,très
Adverbs,also/too,aussi
Adverbs,always,toujours
Adverbs,never,jamais
Adverbs,often,souvent
Adverbs,sometimes,parfois
Adverbs,here,ici
Adverbs,there,là
Adverbs,maybe,peut-être
Adverbs,already,déjà
Adverbs,still/yet,encore
Adverbs,more,plus
Adverbs,less,moins
Adverbs,enough,assez
Adverbs,together,ensemble
Countries,France,France
Countries,Italy,Italie
Countries,Russia,Russie
Countries,Greece,Grèce
Countries,England,Angleterre
Countries,Germany,Allemagne
Countries,Spain,Espagne
Countries,world,monde
Countries,America,Amérique
Countries,China,Chine
Misc,work/job,travail
Misc,life,vie
Misc,love,amour
Misc,music,musique
Misc,film/movie,film
Misc,game,jeu
Misc,sport,sport
Misc,news,nouvelles
Misc,problem,problème
Misc,idea,idée
Misc,way/road,chemin
Misc,number,nombre
Misc,color,couleur
Misc,price,prix
Misc,gift,cadeau
Misc,holiday/vacation,vacances
Misc,party,fête
Misc,dream,rêve
Misc,health,santé
Misc,peace,paix
