Category,English,Greek,Transliteration
Numbers,zero,μηδέν,midén
Numbers,one,ένα,éna
Numbers,two,δύο,dío
Numbers,three,τρία,tría
Numbers,four,τέσσερα,téssera
Numbers,five,πέντε,pénde
Numbers,six,έξι,éxi
Numbers,seven,επτά,eptá
Numbers,eight,οκτώ,októ
Numbers,nine,εννέα,ennéa
Numbers,ten,δέκα,déka
Numbers,eleven,έντεκα,éndeka
Numbers,twelve,δώδεκα,dódeka
Numbers,thirteen,δεκατρία,dekatría
Numbers,fourteen,δεκατέσσερα,dekatéssera
Numbers,fifteen,δεκαπέντε,dekapénde
Numbers,sixteen,δεκαέξι,dekaéxi
Numbers,seventeen,δεκαεπτά,dekaeptá
Numbers,eighteen,δεκαοκτώ,dekaoktó
Numbers,nineteen,δεκαεννέα,dekaennéa
Numbers,twenty,είκοσι,íkosi
Numbers,thirty,τριάντα,triánda
Numbers,forty,σαράντα,saránda
Numbers,fifty,πενήντα,penínda
Numbers,sixty,εξήντα,exínda
Numbers,seventy,εβδομήντα,evdomínda
Numbers,eighty,ογδόντα,ogdónda
Numbers,ninety,ενενήντα,enenínda
Numbers,hundred,εκατό,ekató
Days,Monday,Δευτέρα,Deftéra
Days,Tuesday,Τρίτη,Tríti
Days,Wednesday,Τετάρτη,Tetárti
Days,Thursday,Πέμπτη,Pémpti
Days,Friday,Παρασκευή,Paraskeví
Days,Saturday,Σάββατο,Sávato
Days,Sunday,Κυριακή,Kiriakí
Months,January,Ιανουάριος,Ianouários
Months,February,Φεβρουάριος,Fevrouários
Months,March,Μάρτιος,Mártios
Months,April,Απρίλιος,Aprílios
Months,May,Μάιος,Máios
Months,June,Ιούνιος,Ioúnios
Months,July,Ιούλιος,Ioúlios
Months,August,Αύγουστος,Ávgoustos
Months,September,Σεπτέμβριος,Septémvrios
Months,October,Οκτώβριος,Októvrios
Months,November,Νοέμβριος,Noémvrios
Months,December,Δεκέμβριος,Dekémvrios
Seasons,spring,άνοιξη,ánixi
Seasons,summer,καλοκαίρι,kalokéri
Seasons,autumn,φθινόπωρο,fthinóporo
Seasons,winter,χειμώνας,chimónas
Colors,white,άσπρο,áspro
Colors,black,μαύρο,mávro
Colors,red,κόκκινο,kókkino
Colors,blue,μπλε,ble
Colors,green,πράσινο,prásino
Colors,yellow,κίτρινο,kítrino
Colors,orange,πορτοκαλί,portokalí
Colors,pink,ροζ,roz
Colors,brown,καφέ,kafé
Colors,grey,γκρι,gri
Colors,purple,μοβ,mov
Colors,gold,χρυσό,chrysó
Family,mother,μητέρα,mitéra
Family,father,πατέρας,patéras
Family,parents,γονείς,gonís
Family,son,γιος,yos
Family,daughter,κόρη,kóri
Family,child,παιδί,pedí
Family,brother,αδελφός,adelfós
Family,sister,αδελφή,adelfí
Family,grandmother,γιαγιά,yayá
Family,grandfather,παππούς,papoús
Family,husband,σύζυγος,sízygos
Family,wife,σύζυγος,sízygos
Family,family,οικογένεια,ikogénia
Family,uncle,θείος,thíos
Family,aunt,θεία,thía
Family,cousin,ξάδελφος,xádelfos
Family,baby,μωρό,moró
Family,man,άντρας,ándras
Family,woman,γυναίκα,gynéka
Family,friend,φίλος,fílos
Greetings,hello,γεια,ya
Greetings,goodbye,αντίο,adío
Greetings,please,παρακαλώ,parakaló
Greetings,thank you,ευχαριστώ,efcharistó
Greetings,you're welcome,παρακαλώ,parakaló
Greetings,yes,ναι,ne
Greetings,no,όχι,óchi
Greetings,excuse me,συγγνώμη,signómi
Greetings,sorry,λυπάμαι,lipáme
Greetings,good morning,καλημέρα,kaliméra
Greetings,good evening,καλησπέρα,kalispéra
Greetings,good night,καληνύχτα,kaliníchta
Greetings,how are you,τι κάνεις,ti kánis
Greetings,nice to meet you,χάρηκα,chárika
Greetings,welcome,καλώς ήρθες,kalós írthes
Questions,what,τι,ti
Questions,who,ποιος,pios
Questions,where,πού,poú
Questions,when,πότε,póte
Questions,why,γιατί,yatí
Questions,how,πώς,pos
Questions,how much/many,πόσο,póso
Questions,which,ποιος,pios
Questions,whose,τίνος,tínos
Questions,whom,ποιον,pion
Pronouns,I,εγώ,egó
Pronouns,you (sg),εσύ,esí
Pronouns,he,αυτός,aftós
Pronouns,she,αυτή,aftí
Pronouns,we,εμείς,emís
Pronouns,you (pl),εσείς,esís
Pronouns,they,αυτοί,aftí
Pronouns,this,αυτό,aftó
Pronouns,that,εκείνο,ekíno
Pronouns,my,δικό μου,dikó mou
Pronouns,your,δικό σου,dikó sou
Pronouns,our,δικό μας,dikó mas
Time,today,σήμερα,símera
Time,tomorrow,αύριο,ávrio
Time,yesterday,χτες,chtes
Time,now,τώρα,tóra
Time,later,αργότερα,argótera
Time,morning,πρωί,proí
Time,afternoon,απόγευμα,apógevma
Time,evening,βράδυ,vrádi
Time,night,νύχτα,níchta
Time,week,εβδομάδα,evdomáda
Time,month,μήνας,mínas
Time,year,χρόνος,chrónos
Time,hour,ώρα,óra
Time,minute,λεπτό,leptó
Time,day,μέρα,méra
Verbs,to be,είμαι,íme
Verbs,to have,έχω,écho
Verbs,to do/make,κάνω,káno
Verbs,to go,πηγαίνω,piyéno
Verbs,to come,έρχομαι,érchome
Verbs,to want,θέλω,thélo
Verbs,to be able to/can,μπορώ,boró
Verbs,to know,ξέρω,xéro
Verbs,to see,βλέπω,vlépo
Verbs,to say/tell,λέω,léo
Verbs,to speak,μιλάω,miláo
Verbs,to eat,τρώω,tróo
Verbs,to drink,πίνω,píno
Verbs,to sleep,κοιμάμαι,kimáme
Verbs,to live,ζω,zo
Verbs,to work,δουλεύω,doulévo
Verbs,to study,σπουδάζω,spoudázo
Verbs,to read,διαβάζω,diavázo
Verbs,to write,γράφω,gráfo
Verbs,to listen,ακούω,akoúo
Verbs,to look/watch,κοιτάζω,kitázo
Verbs,to understand,καταλαβαίνω,katalavéno
Verbs,to think,σκέφτομαι,skéftome
Verbs,to love,αγαπώ,agapó
Verbs,to like,μου αρέσει,mou arési
Verbs,to need,χρειάζομαι,chriázome
Verbs,to buy,αγοράζω,agorázo
Verbs,to sell,πουλάω,pouláo
Verbs,to pay,πληρώνω,pliróno
Verbs,to open,ανοίγω,anígo
Verbs,to close,κλείνω,klíno
Verbs,to give,δίνω,díno
Verbs,to take,παίρνω,pérno
Verbs,to walk,περπατώ,perpató
Verbs,to run,τρέχω,trécho
