Category,English,Italian
Numbers,zero,zero
Numbers,one,uno
Numbers,two,due
Numbers,three,tre
Numbers,four,quattro
Numbers,five,cinque
Numbers,six,sei
Numbers,seven,sette
Numbers,eight,otto
Numbers,nine,nove
Numbers,ten,dieci
Numbers,eleven,undici
Numbers,twelve,dodici
Numbers,thirteen,tredici
Numbers,fourteen,quattordici
Numbers,fifteen,quindici
Numbers,sixteen,sedici
Numbers,seventeen,diciassette
Numbers,eighteen,diciotto
Numbers,nineteen,diciannove
Numbers,twenty,venti
Numbers,thirty,trenta
Numbers,forty,quaranta
Numbers,fifty,cinquanta
Numbers,sixty,sessanta
Numbers,seventy,settanta
Numbers,eighty,ottanta
Numbers,ninety,novanta
Numbers,hundred,cento
Days,Monday,lunedì
Days,Tuesday,martedì
Days,Wednesday,mercoledì
Days,Thursday,giovedì
Days,Friday,venerdì
Days,Saturday,sabato
Days,Sunday,domenica
Months,January,gennaio
Months,February,febbraio
Months,March,marzo
Months,April,aprile
Months,May,maggio
Months,June,giugno
Months,July,luglio
Months,August,agosto
Months,September,settembre
Months,October,ottobre
Months,November,novembre
Months,December,dicembre
Seasons,spring,primavera
Seasons,summer,estate
Seasons,autumn,autunno
Seasons,winter,inverno
Colors,white,bianco
Colors,black,nero
Colors,red,rosso
Colors,blue,blu
Colors,green,verde
Colors,yellow,giallo
Colors,orange,arancione
Colors,pink,rosa
Colors,brown,marrone
Colors,grey,grigio
Colors,purple,viola
Colors,gold,dorato
Family,mother,madre
Family,father,padre
Family,parents,genitori
Family,son,figlio
Family,daughter,figlia
Family,child,bambino
Family,brother,fratello
Family,sister,sorella
Family,grandmother,nonna
Family,grandfather,nonno
Family,husband,marito
Family,wife,moglie
Family,family,famiglia
Family,uncle,zio
Family,aunt,zia
Family,cousin,cugino
Family,baby,bambino/a
Family,man,uomo
Family,woman,donna
Family,friend,amico
Greetings,hello,ciao
Greetings,goodbye,arrivederci
Greetings,please,per favore
Greetings,thank you,grazie
Greetings,you're welcome,prego
Greetings,yes,sì
Greetings,no,no
Greetings,excuse me,scusi
Greetings,sorry,mi dispiace
Greetings,good morning,buongiorno
Greetings,good evening,buonasera
Greetings,good night,buonanotte
Greetings,how are you,come stai
Greetings,nice to meet you,piacere
Greetings,welcome,benvenuto
Questions,what,cosa
Questions,who,chi
Questions,where,dove
Questions,when,quando
Questions,why,perché
Questions,how,come
Questions,how much/many,quanto
Questions,which,quale
Questions,whose,di chi
Questions,whom,chi
Pronouns,I,io
Pronouns,you (sg),tu
Pronouns,he,lui
Pronouns,she,lei
Pronouns,we,noi
Pronouns,you (pl),voi
Pronouns,they,loro
Pronouns,this,questo
