Category,English,Russian,Transliteration
Numbers,zero,ноль,nol'
Numbers,one,один,odin
Numbers,two,два,dva
Numbers,three,три,tri
Numbers,four,четыре,chetýre
Numbers,five,пять,pyat'
Numbers,six,шесть,shest'
Numbers,seven,семь,sem'
Numbers,eight,восемь,vósem'
Numbers,nine,девять,dévyat'
Numbers,ten,десять,désyat'
Numbers,eleven,одиннадцать,odínnadtsat'
Numbers,twelve,двенадцать,dvenádtsat'
Numbers,thirteen,тринадцать,trinádtsat'
Numbers,fourteen,четырнадцать,chetýrnadtsat'
Numbers,fifteen,пятнадцать,pyatnádtsat'
Numbers,sixteen,шестнадцать,shestnádtsat'
Numbers,seventeen,семнадцать,semnádtsat'
Numbers,eighteen,восемнадцать,vosemnádtsat'
Numbers,nineteen,девятнадцать,devyatnádtsat'
Numbers,twenty,двадцать,dvádtsat'
Numbers,thirty,тридцать,trídtsat'
Numbers,forty,сорок,sórok
Numbers,fifty,пятьдесят,pyat'desyát
Numbers,sixty,шестьдесят,shest'desyát
Numbers,seventy,семьдесят,sém'desyat
Numbers,eighty,восемьдесят,vósem'desyat
Numbers,ninety,девяносто,devyanósto
Numbers,hundred,сто,sto
Days,Monday,понедельник,ponedél'nik
Days,Tuesday,вторник,vtórnik
Days,Wednesday,среда,sredá
Days,Thursday,четверг,chetvérg
Days,Friday,пятница,pyátnitsa
Days,Saturday,суббота,subbóta
Days,Sunday,воскресенье,voskresén'ye
Months,January,январь,yanvár'
Months,February,февраль,fevrál'
Months,March,март,mart
Months,April,апрель,aprél'
Months,May,май,may
Months,June,июнь,iyún'
Months,July,июль,iyúl'
Months,August,август,ávgust
Months,September,сентябрь,sentyábr'
Months,October,октябрь,oktyábr'
Months,November,ноябрь,noyábr'
Months,December,декабрь,dekábr'
Seasons,spring,весна,vesná
Seasons,summer,лето,léto
Seasons,autumn,осень,ósen'
Seasons,winter,зима,zimá
Colors,white,белый,bélyy
Colors,black,чёрный,chyórnyy
Colors,red,красный,krásnyy
Colors,blue,синий,síniy
Colors,green,зелёный,zelyónyy
Colors,yellow,жёлтый,zhyóltyy
Colors,orange,оранжевый,oránzhevyy
Colors,pink,розовый,rózovyy
Colors,brown,коричневый,korichnevyy
Colors,grey,серый,séryy
Colors,purple,фиолетовый,fioletovyy
Colors,gold,золотой,zolotóy
Family,mother,мать,mat'
Family,father,отец,otéts
Family,parents,родители,rodíteli
Family,son,сын,syn
Family,daughter,дочь,doch'
Family,child,ребёнок,rebyónok
Family,brother,брат,brat
Family,sister,сестра,sestrá
Family,grandmother,бабушка,bábushka
Family,grandfather,дедушка,dédushka
Family,husband,муж,muzh
Family,wife,жена,zhená
Family,family,семья,sem'yá
Family,uncle,дядя,dyádya
Family,aunt,тётя,tyótya
Family,cousin,двоюродный брат,dvoyúrodnyy brat
Family,baby,младенец,mladénets
Family,man,мужчина,muzhchína
Family,woman,женщина,zhénshchina
Family,friend,друг,drug
Greetings,hello,привет,privét
Greetings,goodbye,до свидания,do svidániya
Greetings,please,пожалуйста,pozháluysta
Greetings,thank you,спасибо,spasíbo
Greetings,you're welcome,пожалуйста,pozháluysta
Greetings,yes,да,da
Greetings,no,нет,nyet
Greetings,excuse me,извините,izviníte
Greetings,sorry,извините,izviníte
Greetings,good morning,доброе утро,dóbroye útro
Greetings,good evening,добрый вечер,dóbryy véchеr
Greetings,good night,спокойной ночи,spokóynoy nóchi
Greetings,how are you,как дела,kak delá
Greetings,nice to meet you,приятно познакомиться,priyátno poznakómit'sya
Greetings,welcome,добро пожаловать,dobró pozhálovat'
Questions,what,что,chto
Questions,who,кто,kto
Questions,where,где,gde
Questions,when,когда,kogdá
Questions,why,почему,pochemú
Questions,how,как,kak
Questions,how much/many,сколько,skól'ko
Questions,which,какой,kakóy
Questions,whose,чей,chey
Questions,whom,кого,kogó
Pronouns,I,я,ya
Pronouns,you (sg),ты,ty
Pronouns,he,он,on
Pronouns,she,она,oná
Pronouns,we,мы,my
Pronouns,you (pl),вы,vy
Pronouns,they,они,oní
Pronouns,this,это,éto
Pronouns,that,то,to
Pronouns,my,мой,moy
Pronouns,your,твой,tvoy
Pronouns,our,наш,nash
Time,today,сегодня,segódnya
Time,tomorrow,завтра,závtra
Time,yesterday,вчера,vcherá
Time,now,сейчас,seychás
Time,later,позже,pózzhe
Time,morning,утро,útro
Time,afternoon,день,den'
Time,evening,вечер,véchеr
Time,night,ночь,noch'
Time,week,неделя,nedélya
Time,month,месяц,mésyats
Time,year,год,god
Time,hour,час,chas
Time,minute,минута,minúta
Time,day,день,den'
Verbs,to be,быть,byt'
Verbs,to have,иметь,imét'
Verbs,to do/make,делать,délat'
Verbs,to go,идти,idtí
Verbs,to come,приходить,prikhodít'
Verbs,to want,хотеть,khotét'
